# cl_TT                  cl_TE                    cl_EE
8.898958948555961115e+02 -5.021624967308700782e+00 2.482188101809558733e-01
9.001448545037050053e+02 -5.289431959250475046e+00 2.557655343154089378e-01
9.104443821370178966e+02 -5.560838096291026211e+00 2.633538641338308839e-01
9.207988883252751293e+02 -5.835708051424743914e+00 2.709781454613573448e-01
9.312156702198866469e+02 -6.114015828872120473e+00 2.786317755290981246e-01
9.417303154012925006e+02 -6.395789571940968976e+00 2.863084837636981073e-01
9.523754412516076400e+02 -6.681128024489805028e+00 2.939989917924217822e-01
9.631502601996644444e+02 -6.969704850787425521e+00 3.016971958683949406e-01
9.740407335801403406e+02 -7.261305023592553809e+00 3.093966811416489771e-01
9.850442416906900007e+02 -7.555525442572352368e+00 3.170904287207840788e-01
9.961404147350413041e+02 -7.852177163158833295e+00 3.247735329939688831e-01
1.007330193313290465e+03 -8.150873879520945664e+00 3.324384315561186853e-01
1.018615706591244020e+03 -8.451542599970986558e+00 3.400751773734839167e-01
1.029994678940301128e+03 -8.753935759014852991e+00 3.476771894234825244e-01
1.041473763981543016e+03 -9.057887238485232473e+00 3.552366430312068335e-01
1.053037673642900927e+03 -9.363183521205517224e+00 3.627470234195186438e-01
1.064702222368931871e+03 -9.669611100304280171e+00 3.702033371988794896e-01
1.076464611347407299e+03 -9.977013343798651235e+00 3.775959615616857334e-01
1.088324109908240644e+03 -1.028527345244511260e+01 3.849154278174352073e-01
1.100272712886271620e+03 -1.059399454792173501e+01 3.921606329579345185e-01
1.112311259910304898e+03 -1.090304509785642040e+01 3.993156587984396100e-01
1.124435058091829660e+03 -1.121209560755964851e+01 4.063779875402704356e-01
1.136639414917740396e+03 -1.152087026992683327e+01 4.133434198280079297e-01
1.148915787602305272e+03 -1.182916271421144039e+01 4.202049368440685106e-01
1.161263608007389848e+03 -1.213663371411386649e+01 4.269547629309862202e-01
1.173681489507789820e+03 -1.244303683665956584e+01 4.335845772361056061e-01
1.186161163422469372e+03 -1.274819448999833149e+01 4.400879090102288727e-01
1.198703093254306850e+03 -1.305173869936335684e+01 4.464654436400923854e-01
1.211305514728949674e+03 -1.335347795190521047e+01 4.527069073117439557e-01
1.223963737961513061e+03 -1.365313481817726959e+01 4.588019808783409537e-01
1.236673334653600932e+03 -1.395044838819698363e+01 4.647544928037315448e-01
1.249437379375400269e+03 -1.424519473732810404e+01 4.705570389743577997e-01
1.262254373191341301e+03 -1.453707999720030664e+01 4.761908191983200700e-01
1.275114085652787480e+03 -1.482579409532939785e+01 4.816567394497975885e-01
1.288019948853303731e+03 -1.511116696209542631e+01 4.869443717555333451e-01
1.300973213489068257e+03 -1.539247518957720118e+01 4.920325610482331746e-01
1.313965633926278542e+03 -1.566980480272457221e+01 4.969262237845177843e-01
1.326987652867580664e+03 -1.594299424838591150e+01 5.016217529979333234e-01
1.340043246006694062e+03 -1.621173356581605063e+01 5.061142321965697022e-01
1.353127657397559005e+03 -1.647574554044552286e+01 5.103949222247597950e-01
1.366233285437435597e+03 -1.673486875751957115e+01 5.144647002557759530e-01
1.379360840801840823e+03 -1.698885450809032704e+01 5.183161320101909997e-01
1.392501411846879819e+03 -1.723744520109294598e+01 5.219487925812945628e-01
1.405654818823386449e+03 -1.748046971791310256e+01 5.253565524818816224e-01
1.418819817478713048e+03 -1.771766964603027716e+01 5.285376846306353293e-01
1.431984882643741230e+03 -1.794880701874086171e+01 5.314873642273874044e-01
1.445150240754073820e+03 -1.817370101392571513e+01 5.342103962790951677e-01
1.458312612318423817e+03 -1.839216837641328084e+01 5.367031002191953171e-01
1.471465773054015699e+03 -1.860397612533054712e+01 5.389717458723741750e-01
1.484605613260331666e+03 -1.880899857688519106e+01 5.410120463191048223e-01
1.497733014474436231e+03 -1.900694237555214627e+01 5.428173162842194754e-01
1.510844528864756512e+03 -1.919750954196229031e+01 5.443810876375483332e-01
1.523936862110230550e+03 -1.938054662591073907e+01 5.457029184673207745e-01
1.537003055215197946e+03 -1.955586355242634156e+01 5.467750377936066997e-01
1.550053513805171406e+03 -1.972324819097575244e+01 5.475917835685371049e-01
1.563076889150256875e+03 -1.988255693163540627e+01 5.481630757035346191e-01
1.576069960323005716e+03 -2.003351822780571823e+01 5.484732428423323425e-01
1.589038368107011593e+03 -2.017585195470244130e+01 5.485194306359815197e-01
1.601963587660135545e+03 -2.030881906339462972e+01 5.482942202640210816e-01
1.614853394250848169e+03 -2.043285698171784048e+01 5.478042671519245399e-01
1.627684962436873093e+03 -2.054795332587167422e+01 5.470615522977481104e-01
1.640456155092204654e+03 -2.065378305109397772e+01 5.460693247373825665e-01
1.653157806104649353e+03 -2.075026824055466790e+01 5.448255068318550443e-01
1.665780749540813076e+03 -2.083719692713943061e+01 5.433347239434028753e-01
1.678313465275087538e+03 -2.091440424609639592e+01 5.416016011057213086e-01
1.690749102948340351e+03 -2.098184637701283961e+01 5.396307629655601179e-01
1.703094696794282299e+03 -2.103947951214346546e+01 5.374298398560228840e-01
1.715347745910953108e+03 -2.108732649549791560e+01 5.350118614208452250e-01
1.727511867148044985e+03 -2.112536214332034845e+01 5.323805852766742008e-01
1.739592406577534575e+03 -2.115337922355137579e+01 5.295344004438132801e-01
1.751585944140060292e+03 -2.117117720638167455e+01 5.264700774141358730e-01
1.763491216632984788e+03 -2.117851999808084784e+01 5.231906387099295452e-01
1.775307159350983284e+03 -2.117520921768426589e+01 5.196943427625596579e-01
1.787027661426590157e+03 -2.116109936319431029e+01 5.159815302268851989e-01
1.798638505222088043e+03 -2.113596386568511321e+01 5.120562841168910806e-01
1.810131765731853875e+03 -2.109969847143839061e+01 5.079198936285843624e-01
1.821504452644230923e+03 -2.105202235169415914e+01 5.035861765450179162e-01
1.832740395025361977e+03 -2.099289856760709938e+01 4.990468694046064635e-01
1.843840541546150234e+03 -2.092210428910528464e+01 4.943071960038440960e-01
1.854795825164005009e+03 -2.083957438312753752e+01 4.893768473601988744e-01
1.865595846050267028e+03 -2.074468816596640508e+01 4.842620162261623840e-01
1.876234985302798577e+03 -2.063738924058945301e+01 4.789726362312382579e-01
1.886718811996001705e+03 -2.051825750831047301e+01 4.735228107032836697e-01
