# cl_TT                  cl_TE                    cl_EE
3.005644500786061599e+03 -2.446620609862084095e+01 5.222011435104016996e-01
3.017929782630842965e+03 -2.405965859418947517e+01 5.140910890073151496e-01
3.029927588579622807e+03 -2.363716718585223120e+01 5.060159550790591654e-01
3.041628131688088160e+03 -2.319881473961519802e+01 4.979905139085744614e-01
3.053032000065417378e+03 -2.274462321525871289e+01 4.900277292547249863e-01
3.064136953793395605e+03 -2.227465974841860330e+01 4.821343554198371240e-01
3.074932857258165768e+03 -2.178907043428378643e+01 4.743282207911597159e-01
3.085421002923572814e+03 -2.128775826329798448e+01 4.666300618076669182e-01
3.095592243549264367e+03 -2.077096619269826405e+01 4.590474960189032672e-01
3.105448340860988537e+03 -2.023874342766515255e+01 4.515930392840938334e-01
3.114986472919151311e+03 -1.969129877321602606e+01 4.442892496789034862e-01
3.124195921769713550e+03 -1.912873245194349181e+01 4.371516748792700913e-01
3.133079152538932249e+03 -1.855126780522810748e+01 4.301976266777109981e-01
3.141632993291160346e+03 -1.795914322635860216e+01 4.234425726555576253e-01
3.149846375876678394e+03 -1.735237928624115611e+01 4.169046913416219469e-01
3.157715090771989253e+03 -1.673120229949470428e+01 4.106008909220359437e-01
3.165245360134267230e+03 -1.609578362999151224e+01 4.045556275847118077e-01
3.172427242885713895e+03 -1.544634980392537926e+01 3.987876976202062718e-01
3.179268426500152600e+03 -1.478345721357685072e+01 3.933124164466330619e-01
3.185772882849061261e+03 -1.410734835283420985e+01 3.881504080970726855e-01
3.191942981030240844e+03 -1.341833397987294241e+01 3.833208215869544078e-01
3.197762610508449598e+03 -1.271667192062578344e+01 3.788428033318884669e-01
3.203248228400941571e+03 -1.200280309761763498e+01 3.747357275964499079e-01
3.208389132181279365e+03 -1.127693223065203298e+01 3.710208037539391990e-01
3.213179508543986685e+03 -1.053955860971444558e+01 3.677173707108412626e-01
3.217604466880658038e+03 -9.790887418343007909e+00 3.648460081505251473e-01
3.221668913097638779e+03 -9.031335873620101040e+00 3.624270603737180241e-01
3.225349157090612152e+03 -8.261074274805828566e+00 3.604824914876021413e-01
3.228648565653499190e+03 -7.480168120512930230e+00 3.590337284389168437e-01
3.231553165452507528e+03 -6.688736809774109560e+00 3.581037705700973461e-01
3.234063696852230350e+03 -5.887070129108892935e+00 3.577142055193831549e-01
3.236200345962797655e+03 -5.075408619627094886e+00 3.578865569749901665e-01
3.237953366063822159e+03 -4.254008333188378899e+00 3.586439392533910531e-01
3.239332588286210921e+03 -3.423121973340240931e+00 3.600082629897445319e-01
3.240349222180871038e+03 -2.583009898467442333e+00 3.620005876888190977e-01
3.241005552587738748e+03 -1.733927526978977118e+00 3.646439836778915811e-01
3.241306947220132770e+03 -8.761437686548658732e-01 3.679585627334772679e-01
3.241248353345936721e+03 -9.950426115836160171e-03 3.719643602851920861e-01
3.240819487374379605e+03 8.643475700650035121e-01 3.766869007087373378e-01
3.240020342954485841e+03 1.746471289063636911e+00 3.821409138368189740e-01
3.238848038730398002e+03 2.636148189125505414e+00 3.883468757531108873e-01
3.237294788251061163e+03 3.533053886655145526e+00 3.953290856842609502e-01
3.235359022151781573e+03 4.436876125404313420e+00 4.031022643200800615e-01
3.233038835102136090e+03 5.347291615614968130e+00 4.116875807395645737e-01
3.230328688640291602e+03 6.263992140148858745e+00 4.211052801871221218e-01
3.227236354137963644e+03 7.186586101315441510e+00 4.313692143747834828e-01
3.223766026014167437e+03 8.114711681212932959e+00 4.424947177817687982e-01
3.219914002109439025e+03 9.047986774780611086e+00 4.544997980630440804e-01
3.215680116188373631e+03 9.986078444372003204e+00 4.674070951436879451e-01
3.211068211273865927e+03 1.092857404188000103e+01 4.812273810368705163e-01
3.206082323634499971e+03 1.187509950487997301e+01 4.959756630867290239e-01
3.200721900282785555e+03 1.282528084193503304e+01 5.116702530655095060e-01
3.194987710999378123e+03 1.377870134435165639e+01 5.283172846796012623e-01
3.188887526593635357e+03 1.473495333030397703e+01 5.459290757780896897e-01
3.182420092002723777e+03 1.569361789640380422e+01 5.645235791320709628e-01
3.175582249271708861e+03 1.665424354824487807e+01 5.841108485878842016e-01
3.168383483946085107e+03 1.761647380526349949e+01 6.047025331559782169e-01
3.160819890394830054e+03 1.857986698861387254e+01 6.263133119671017157e-01
3.152900806693199229e+03 1.954394384198180035e+01 6.489429188342458188e-01
3.144629170600740053e+03 2.050830414721372108e+01 6.725979845663824230e-01
3.136007624712818597e+03 2.147252242226144148e+01 6.972827518990581952e-01
3.127038608236556229e+03 2.243604097259006735e+01 7.230123294050400107e-01
3.117722113118082689e+03 2.339852568634521290e+01 7.497928184987345812e-01
3.108069263635808966e+03 2.435948072995811486e+01 7.776233281866452574e-01
3.098084244255628619e+03 2.531841334079539507e+01 8.065086492475869173e-01
3.087767046938801741e+03 2.627498875460844019e+01 8.364498672610476415e-01
3.077129498030253671e+03 2.722873434350544741e+01 8.674520047186174976e-01
3.066181113947043286e+03 2.817924236560997642e+01 8.995038426751058580e-01
3.054917363283162558e+03 2.912607853576480110e+01 9.326135309541792040e-01
3.043355531287993472e+03 3.006872966873801545e+01 9.667831948652312324e-01
3.031493406311631134e+03 3.100685908982514505e+01 1.001999166456872814e+00
3.019342706979004106e+03 3.193997693889804879e+01 1.038270998663076483e+00
3.006899124825380113e+03 3.286748890896110709e+01 1.075573636675446698e+00
2.994168343558968900e+03 3.378899124093524620e+01 1.113908747318314019e+00
2.981151279165505457e+03 3.470397445487418508e+01 1.153262652848968894e+00
2.967861861956538178e+03 3.561184089991468937e+01 1.193632838862966228e+00
2.954286522613198031e+03 3.651219179141889271e+01 1.235002089304110262e+00
2.940434671718511254e+03 3.740448219044234435e+01 1.277392494015004099e+00
2.926309930198638085e+03 3.828836963246707370e+01 1.320818167811680155e+00
2.911922228847990027e+03 3.916305882430126672e+01 1.365287988955365073e+00
2.897268951096216824e+03 4.002903387806715330e+01 1.410859612216816439e+00
2.882375244187435783e+03 4.088457255871365703e+01 1.457506110564562141e+00
2.867237572130438366e+03 4.173063824085150486e+01 1.505240689733150727e+00
2.851873696107659725e+03 4.256606452504248495e+01 1.554076557660559299e+00
2.836286773947873371e+03 4.339102623121246438e+01 1.604026329426879949e+00
2.820479250147418043e+03 4.420447506713308883e+01 1.655094726273915073e+00
2.804447330275504555e+03 4.500715119131324826e+01 1.707280234407853259e+00
2.788195115196450388e+03 4.579720401351324455e+01 1.760587346804880937e+00
2.771731410984669765e+03 4.657436226002506885e+01 1.815014789871354450e+00
2.755051590357799341e+03 4.733922575017709278e+01 1.870568009437141521e+00
2.738152322170846674e+03 4.809027366742185450e+01 1.927249860083789734e+00
2.721039584846769685e+03 4.882801226385343085e+01 1.985053064881735052e+00
2.703725959763745777e+03 4.955101438781950662e+01 2.043981549351084670e+00
2.686207277336872266e+03 5.025985756436631391e+01 2.104028049705628511e+00
2.668501194035778099e+03 5.095380969517255210e+01 2.165175740885361133e+00
2.650600942796410436e+03 5.163318988185413616e+01 2.227430341871359687e+00
2.632519445463645297e+03 5.229675828744779409e+01 2.290777987542211847e+00
2.614269052782250128e+03 5.294495208599783354e+01 2.355214260673454074e+00
2.595847359095385400e+03 5.357673296313643618e+01 2.420729085964014260e+00
2.577259853838158051e+03 5.419208732249905580e+01 2.487307691863776871e+00
2.558517453941011354e+03 5.479134706469670135e+01 2.554926921834674847e+00
2.539625905756185603e+03 5.537376748890502398e+01 2.623574105586374383e+00
2.520585968084995784e+03 5.593937269872791518e+01 2.693236161076006940e+00
2.501408553987445430e+03 5.648767903399452450e+01 2.763888156648828254e+00
2.482098703893485890e+03 5.701820284629904734e+01 2.835517112687239383e+00
2.462657875035204597e+03 5.753076577033916550e+01 2.908102158753039568e+00
2.443093807132177062e+03 5.802566212098574283e+01 2.981620873167765584e+00
2.423416202632578916e+03 5.850285754673782890e+01 3.056045589445029353e+00
2.403633536853285932e+03 5.896152806169322957e+01 3.131348784177744093e+00
2.383744677989968295e+03 5.940182044845231246e+01 3.207509880041626182e+00
2.363760027515300408e+03 5.982376602687192246e+01 3.284499167776959716e+00
2.343690759432923187e+03 6.022682727113154755e+01 3.362298595552245306e+00
2.323536125851204361e+03 6.061130211378220878e+01 3.440840088791774942e+00
2.303299448281298282e+03 6.097710587429749296e+01 3.520108655101279016e+00
2.282991628484142439e+03 6.132371174639123979e+01 3.600113324714322882e+00
2.262615121601006649e+03 6.165112510985245109e+01 3.680747434913906879e+00
2.242173949043550238e+03 6.195955029940829206e+01 3.761998963493123682e+00
2.221670096525047029e+03 6.224805806310788370e+01 3.843825369012445314e+00
2.201112626302528497e+03 6.251675910834788397e+01 3.926175923699231962e+00
2.180510834263557172e+03 6.276625666407936421e+01 4.009017104437782919e+00
2.159867839003606150e+03 6.299636431474107923e+01 4.092284510940303655e+00
2.139191683716409443e+03 6.320709101279472719e+01 4.176012251093931482e+00
2.118493265509095636e+03 6.339873114185439817e+01 4.260089842915820491e+00
2.097778321977643827e+03 6.357157908050103856e+01 4.344503682861967420e+00
2.077055246183886993e+03 6.372592920064161603e+01 4.429239463763499529e+00
2.056334934132874423e+03 6.386153655008397578e+01 4.514232819850598766e+00
2.035617296390349111e+03 6.397839950287760047e+01 4.599479234377193748e+00
2.014914727280085799e+03 6.407646712283107604e+01 4.684903306743537499e+00
1.994234624284257734e+03 6.415561940399362584e+01 4.770506223840027538e+00
1.973580314238297433e+03 6.421573632389730335e+01 4.856271271229400277e+00
1.952949145461945136e+03 6.425669784126770878e+01 4.942102777397902713e+00
1.932361046033429375e+03 6.427716483605392739e+01 5.028069925327442569e+00
1.911811618753103858e+03 6.427794626284415358e+01 5.114106059956660566e+00
1.891313947975681913e+03 6.425857909290883185e+01 5.200224107141541374e+00
1.870874025439375828e+03 6.421880987868759405e+01 5.286337074873557640e+00
1.850488613128115276e+03 6.415851844719936992e+01 5.372396951224763129e+00
1.830173297911654572e+03 6.407758459099993331e+01 5.458501500241981219e+00
1.809933368598275138e+03 6.397656780721772662e+01 5.544498577258309524e+00
1.789779064147770896e+03 6.385474286421836609e+01 5.630404198687950945e+00
1.769707425254446207e+03 6.371191463844009206e+01 5.716190023334750236e+00
1.749721144855217290e+03 6.354867760386567710e+01 5.801891723131682888e+00
1.729845342978944927e+03 6.336496272769814908e+01 5.887405977047064809e+00
1.710062385829426830e+03 6.315991128108382924e+01 5.972693019035810735e+00
1.690398679177988470e+03 6.293376870131763923e+01 6.057713499851485217e+00
1.670842857800049160e+03 6.268730040842664408e+01 6.142432907099138362e+00
1.651411924360334297e+03 6.241990255014218292e+01 6.226892042050573117e+00
1.632102265311707242e+03 6.213214789948371930e+01 6.311050916715010395e+00
1.612924441608319057e+03 6.182324558958379157e+01 6.394801372474350210e+00
1.593881773539337701e+03 6.149391833998233636e+01 6.478114223093762725e+00
1.574978354165094743e+03 6.114529177539210991e+01 6.561016054785952178e+00
1.556223501342969485e+03 6.077595611673756792e+01 6.643411147123645222e+00
1.537614768952868872e+03 6.038646748783648377e+01 6.725331495165162821e+00
1.519161005544466889e+03 5.997692960667912843e+01 6.806730137542936099e+00
1.500860231832769387e+03 5.954840468595781289e+01 6.887518398985143619e+00
1.482723543882116701e+03 5.910026514132497510e+01 6.967711203228736494e+00
1.464759086178679809e+03 5.863301994907949677e+01 7.047224571565435802e+00
1.446963987127159953e+03 5.814686609663603889e+01 7.126084687270008544e+00
1.429341561404347203e+03 5.764272501357707768e+01 7.204255871978854309e+00
1.411896949558138886e+03 5.712024502063069775e+01 7.281702454921347822e+00
1.394639300824943120e+03 5.658047149896957251e+01 7.358408208320250665e+00
1.377569867364976744e+03 5.602328255893062448e+01 7.434353453300632353e+00
1.360686359464723409e+03 5.544855621177686800e+01 7.509412280731211808e+00
1.343992088630192484e+03 5.485662929144000799e+01 7.583603897136947936e+00
1.327487954151825761e+03 5.424821199925934678e+01 7.656868551659751887e+00
1.311172015650851790e+03 5.362290983219508433e+01 7.729143395673455430e+00
1.295047582989032435e+03 5.298111376703734265e+01 7.800417688742313338e+00
1.279115202846648117e+03 5.232297757317835618e+01 7.870633276277910539e+00
1.263373284478378764e+03 5.164886861410585084e+01 7.939745952517342609e+00
1.247828133185195838e+03 5.095956320291857367e+01 8.007714364380456473e+00
1.232484609058926026e+03 5.025602684070869230e+01 8.074611747407614004e+00
1.217344702187788016e+03 4.953832790093358796e+01 8.140389332698646285e+00
1.202416151866794053e+03 4.880756445783279673e+01 8.205055851166509484e+00
1.187698800780139209e+03 4.806404483624022106e+01 8.268575722857899990e+00
1.173191758774781647e+03 4.730872035407423226e+01 8.330949191289992228e+00
1.158902032088825990e+03 4.654232194110288390e+01 8.392144502673096085e+00
1.144829259820207426e+03 4.576471138696174279e+01 8.452124614807537739e+00
1.130969734961749054e+03 4.497649079092068547e+01 8.510889018403563711e+00
1.117330157705798911e+03 4.417805299097037164e+01 8.568385093879507863e+00
1.103913740020764635e+03 4.336932173621296727e+01 8.624515143197200473e+00
1.090720081722879058e+03 4.255071622581180435e+01 8.679231026711400787e+00
1.077753184006551692e+03 4.172185830030361586e+01 8.732510506111085036e+00
1.065015908882516896e+03 4.088298307317550950e+01 8.784297561531170473e+00
1.052517127590766222e+03 4.003480953954776567e+01 8.834536175290910620e+00
1.040252992378706494e+03 3.917756957477240576e+01 8.883217852299663875e+00
1.028231892253635124e+03 3.831162261177008332e+01 8.930315681424483287e+00
1.016456824058746179e+03 3.743738619307853810e+01 8.975773649494495743e+00
1.004929818498466375e+03 3.655517570267230099e+01 9.019586775546979851e+00
9.936530394997973872e+02 3.566540950911566199e+01 9.061672438600130164e+00
9.826260926251462706e+02 3.476847592120137165e+01 9.102110320038990565e+00
9.718594927910221486e+02 3.386465976832401736e+01 9.140750537955348420e+00
9.613461214184598020e+02 3.295438967291024568e+01 9.177693683126287638e+00
