# cl_TT                  cl_TE                    cl_EE
6.613371492993373977e+03 -7.076620801763104396e+01 2.255916631725656707e+00
6.618154851711983611e+03 -6.945386747310230646e+01 2.218795602090622321e+00
6.622153734164960952e+03 -6.810832941590869893e+01 2.182195021942063384e+00
6.625406953841300492e+03 -6.673159870422749407e+01 2.146060353407680310e+00
6.627917602956602423e+03 -6.532460903789051088e+01 2.110410677700596871e+00
6.629682937489837059e+03 -6.388814713110101451e+01 2.075296721387727139e+00
6.630692975497754560e+03 -6.242294299892463982e+01 2.040769581889384288e+00
6.630955112344028748e+03 -6.092980736721487744e+01 2.006873091737465309e+00
6.630470693922476130e+03 -5.940959217909324508e+01 1.973648690695215313e+00
6.629230096544400112e+03 -5.786303111736795302e+01 1.941150308171920358e+00
6.627205687833942648e+03 -5.629062150321756519e+01 1.909511399414454358e+00
6.624384242220698070e+03 -5.469314414686839143e+01 1.878809422137941443e+00
6.620812309247417943e+03 -5.307193061922813371e+01 1.848973896712344800e+00
6.616483009418139773e+03 -5.142780518683451163e+01 1.820041452903721657e+00
6.611403567030660270e+03 -4.976162007678890120e+01 1.792046082441179466e+00
6.605571652306863143e+03 -4.807420928371742974e+01 1.765035425088552490e+00
6.598979934050111297e+03 -4.636645576781749156e+01 1.739046025882771573e+00
6.591638519951100534e+03 -4.463910784195370951e+01 1.714116381883465046e+00
6.583534969696889675e+03 -4.289306064290947518e+01 1.690288395283103151e+00
6.574618401123885633e+03 -4.112921059317895356e+01 1.667812059901685018e+00
6.564948098387161735e+03 -3.934849667167129894e+01 1.646503842607002221e+00
6.554530548475286196e+03 -3.755183412570686130e+01 1.626385881006995771e+00
6.543362650134558862e+03 -3.574010577868034488e+01 1.607499126729451611e+00
6.531450016145737209e+03 -3.391407959284857299e+01 1.589864680523376261e+00
6.518799107200938124e+03 -3.207469826923260570e+01 1.573508773064169475e+00
6.505406721275750897e+03 -3.022268054018970318e+01 1.558456195281961110e+00
6.491283650506071353e+03 -2.835887178009140541e+01 1.544734700558905161e+00
6.476403490452580627e+03 -2.648446491914253897e+01 1.532489091708457263e+00
6.460763371760478549e+03 -2.460037506415569553e+01 1.521742441048980821e+00
6.444412349843828451e+03 -2.270712518264473445e+01 1.512389675043170900e+00
6.427346304012186010e+03 -2.080542238705638169e+01 1.504443393297411058e+00
6.409570683658465896e+03 -1.889628257049539428e+01 1.497924742703437451e+00
6.391085073330550586e+03 -1.698089276977087536e+01 1.492861426014731485e+00
6.371894355670679033e+03 -1.506045882479970999e+01 1.489294544204258441e+00
6.352012308050119827e+03 -1.313633382007620476e+01 1.487265404880928621e+00
6.331424129647203699e+03 -1.120981676407554595e+01 1.486823253556733615e+00
6.310093855412937955e+03 -9.283561408027972917e+00 1.488233111068943071e+00
6.288091612991211150e+03 -7.357257580978513900e+00 1.491276971759837533e+00
6.265435209479328478e+03 -5.431928866659426092e+00 1.495980744878456115e+00
6.242142259231729440e+03 -3.508418256542990665e+00 1.502381564298747474e+00
6.218229849726849352e+03 -1.588102057838893355e+00 1.510501600505356867e+00
6.193714329017626369e+03 3.282779525660647901e-01 1.520368597491869256e+00
6.168613664365045224e+03 2.239819372298097022e+00 1.532010292035809185e+00
6.142938120294693363e+03 4.144967689498744612e+00 1.545447307220781052e+00
6.116657488562965227e+03 6.042389233352470690e+00 1.560861172531433194e+00
6.089798360991538175e+03 7.929996369075512419e+00 1.578187596763154898e+00
6.062394319684740367e+03 9.807909403466995357e+00 1.597342358754256342e+00
6.034445382490236625e+03 1.167574011259628541e+01 1.618343263335366267e+00
6.005955607150450305e+03 1.353199675645361566e+01 1.641200002236883559e+00
