# cl_TT                  cl_TE                    cl_EE
1.179521750902139729e+03 -2.814510341656311976e+00 1.527591900390157797e-01
1.194063641736338695e+03 -3.050192389480071320e+00 1.589775835196643172e-01
1.208636229427695525e+03 -3.288973575254808601e+00 1.653294467040804516e-01
1.223215984387337357e+03 -3.530170401083495779e+00 1.718210242793094533e-01
1.237911015628792029e+03 -3.775528230762148052e+00 1.784454268337089533e-01
1.252828913984866858e+03 -4.027182363272028276e+00 1.851911815571261888e-01
1.267973273051045680e+03 -4.286198413921995076e+00 1.920408730798854324e-01
1.283340257749644252e+03 -4.553307721152717313e+00 1.989763433236487189e-01
1.298879691453459145e+03 -4.828911025104085653e+00 2.059804370551545916e-01
1.314460029185045641e+03 -5.111551834563189622e+00 2.130518953916782365e-01
1.330059379806279139e+03 -5.400535027747087824e+00 2.201912051421651140e-01
1.345715278724956306e+03 -5.695462616268049061e+00 2.273995961001753219e-01
1.361442976063731749e+03 -5.996085178255457393e+00 2.346782982151228159e-01
1.377263517392018912e+03 -6.301939023296490028e+00 2.420270405642971079e-01
1.393198845673510050e+03 -6.612446223040642224e+00 2.494410339270295707e-01
1.409239557617877381e+03 -6.927185998400428701e+00 2.569125025543100849e-01
1.425398534851625755e+03 -7.245440436380451210e+00 2.644344137157836339e-01
1.441681230544481650e+03 -7.566863041779212651e+00 2.719989920375917580e-01
1.458093874733402572e+03 -7.890814195570873935e+00 2.796012839454898868e-01
1.474601235086906854e+03 -8.217190302771912869e+00 2.872357371123319125e-01
1.491176284546884517e+03 -8.545966062538505881e+00 2.948981353592328158e-01
1.507821709460992679e+03 -8.877190458717308275e+00 3.025842627362477777e-01
1.524532767858436955e+03 -9.211061043630619949e+00 3.102854465232229852e-01
1.541313398622730801e+03 -9.547513135705834486e+00 3.179967653164709751e-01
1.558165122154480287e+03 -9.886621648829104103e+00 3.257112170305443977e-01
1.575105568108107036e+03 -1.022812498018457106e+01 3.334218367466100230e-01
1.592130081217196221e+03 -1.057205866382908255e+01 3.411238883411882861e-01
1.609256291417009834e+03 -1.091816110308871579e+01 3.488096646552502622e-01
1.626479543762256526e+03 -1.126624498851547429e+01 3.564729445193618451e-01
1.643802611845455203e+03 -1.161612301485627619e+01 3.641067642641295787e-01
1.661235697812284798e+03 -1.196760788155112820e+01 3.717034177363646164e-01
1.678759290623558627e+03 -1.232043800975437264e+01 3.792566848208371311e-01
1.696391021218494416e+03 -1.267435182638537050e+01 3.867625742924490906e-01
1.714126235721467992e+03 -1.302908776469937102e+01 3.942141239886282067e-01
1.731967708849475002e+03 -1.338460711538682446e+01 4.015969438170812755e-01
1.749903358865525206e+03 -1.374035119215883505e+01 4.089189291749832922e-01
1.767935960981490553e+03 -1.409620701790642450e+01 4.161582625155114123e-01
1.786060862306927220e+03 -1.445183877381832538e+01 4.233154118180224024e-01
1.804273410196697569e+03 -1.480683636703694006e+01 4.303834172054143981e-01
1.822568952246199842e+03 -1.516101256532674846e+01 4.373627476628377808e-01
1.840935407934312252e+03 -1.551403158022441886e+01 4.442390160048910186e-01
1.859382982015673406e+03 -1.586548335120453501e+01 4.510126922941884997e-01
1.877899594408683470e+03 -1.621518068034988147e+01 4.576693904574403726e-01
1.896480633642501971e+03 -1.656286473962792272e+01 4.642091532283733057e-01
1.915129077017845930e+03 -1.690806442642759677e+01 4.706303100393227634e-01
1.933840513717264685e+03 -1.725068271030923839e+01 4.769159057591084716e-01
1.952610533081343192e+03 -1.759032544145964394e+01 4.830564142319317411e-01
1.971434724591916847e+03 -1.792674705229550014e+01 4.890571666402765971e-01
1.990316106204882090e+03 -1.825970199102093261e+01 4.949086381152384972e-01
2.009250267631835186e+03 -1.858887043865812672e+01 5.005938760965409351e-01
2.028225370322006029e+03 -1.891393259304993535e+01 5.061182137420117133e-01
2.047244432494965849e+03 -1.923471723632847841e+01 5.114721281829835986e-01
2.066303044072092689e+03 -1.955090460132927177e+01 5.166535255800115412e-01
2.085396795009504785e+03 -1.986217493897775910e+01 5.216528844254633146e-01
2.104513846931205990e+03 -2.016835708563056428e+01 5.264681122451763118e-01
2.123657218164120877e+03 -2.046913132935423008e+01 5.310971172473107904e-01
2.142822498672760503e+03 -2.076417797716903735e+01 5.355303799690733779e-01
2.161997850045935138e+03 -2.105332592224140598e+01 5.397732383223176056e-01
2.181186290535702028e+03 -2.133632979351085623e+01 5.438161741851188502e-01
2.200375981646221135e+03 -2.161286995577037828e+01 5.476645267930737582e-01
2.219562513176146240e+03 -2.188277536019977632e+01 5.513087793263242720e-01
2.238748903212208916e+03 -2.214580069382897065e+01 5.547542722962783834e-01
